Title,Price,PriceRange
A Light in the Attic,51.77,High
Tipping the Velvet,53.74,High
Soumission,50.1,High
Sharp Objects,47.82,High
Sapiens: A Brief History of Humankind,54.23,High
The Requiem Red,22.65,Medium
The Dirty Little Secrets of Getting Your Dream Job,33.34,Medium
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Low
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Medium
The Black Maria,52.15,High
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Low
Shakespeare's Sonnets,20.66,Medium
Set Me Free,17.46,Low
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,High
Rip it Up and Start Again,35.02,Medium
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,High
Olio,23.88,Medium
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Medium
Libertarianism for Beginners,51.33,High
It's Only the Himalayas,45.17,High
In Her Wake,12.84,Low
How Music Works,37.32,Medium
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Medium
Chase Me (Paris Nights #2),25.27,Medium
Black Dust,34.53,Medium
Birdsong: A Story in Pictures,54.64,High
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Medium
Aladdin and His Wonderful Lamp,53.13,High
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,High
Wall and Piece,44.18,High
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Low
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Medium
The Elephant Tree,23.82,Medium
The Bear and the Piano,36.89,Medium
Sophie's World,15.94,Low
Penny Maybe,33.29,Medium
Maude (1883-1993):She Grew Up with the country,18.02,Low
"In a Dark, Dark Wood",19.63,Low
Behind Closed Doors,52.22,High
You can't bury them all: Poems,33.63,Medium
Slow States of Collapse: Poems,57.31,High
Reasons to Stay Alive,26.41,Medium
Private Paris (Private #10),47.61,High
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Medium
Without Borders (Wanderlove #1),45.07,High
When We Collided,31.77,Medium
"We Love You, Charlie Freeman",50.27,High
Untitled Collection: Sabbath Poems 2014,14.27,Low
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,High
Unicorn Tracks,18.78,Low
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,Medium
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,Low
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Medium
This One Summer,19.49,Low
Thirst,17.27,Low
The Torch Is Passed: A Harding Family Story,19.09,Low
The Secret of Dreadwillow Carse,56.13,High
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,High
The Past Never Ends,56.5,High
The Natural History of Us (The Fine Art of Pretending #2),45.22,High
